,changed,Unique.ID,Continent,Species.Distribution,Status,cal.last.occurrence,X14C.last.occurrence,X14C.error,Order,FAMILY,Genus,Species,X,binomial.x,LogMass,Combined.Mass..g.,Comments,Reference,IUCN.status,comment,comment.1,Home.Range.Size,units.for.home.range.sizse,reference.for.home.range,binomial.y,trophic,ref.for.trophic,habitat.mode
26,Unchanged taxonomy.,AF_extant_Aethomys hindei,AF,,extant,,NA,NA,Rodentia,Muridae,Aethomys,hindei,,Aethomys hindei,2.015,103.5,,63_ 70_ 135_ 130,,WT:107,,,NA,NA,Aethomys hindei,graze/browse,t1,terr
27,Unchanged taxonomy.,AF_extant_Aethomys kaiseri,AF,,extant,,NA,NA,Rodentia,Muridae,Aethomys,kaiseri,,Aethomys kaiseri,1.954,89.999,,63_ 70,,,,,NA,NA,Aethomys kaiseri,graze/browse,t1,terr
28,Genus level change. Taxonomy possibilities are: RODENTIA Muridae Micaelamys namaquensis,AF_extant_Aethomys namaquensis,AF,,extant,,NA,NA,Rodentia,Muridae,Aethomys,namaquensis,,Aethomys namaquensis,1.704,50.625,,60_ 188_ 260,,,,,NA,NA,Aethomys namaquensis,graze/browse,t1,terr
29,Unchanged taxonomy.,AF_extant_Aethomys nyikae,AF,,extant,,NA,NA,Rodentia,Muridae,Aethomys,nyikae,,Aethomys nyikae,1.887,77.015,,www.iiasa.ac.at/~sendzim/MammalDataSets/ Woodland%20Savanna%20Mamm.xls,,,,,NA,NA,Aethomys nyikae,graze/browse,t1,terr
30,Unchanged taxonomy.,AF_extant_Aethomys silindensis,AF,,extant,,NA,NA,Rodentia,Muridae,Aethomys,silindensis,,Aethomys silindensis,-999,-999,,-999,,,,,NA,NA,Aethomys silindensis,graze/browse,t1,
31,Unchanged taxonomy.,AF_extant_Aethomys stannarius,AF,,extant,,NA,NA,Rodentia,Muridae,Aethomys,stannarius,,Aethomys stannarius,-999,-999,habitat loss,-999,LR,,,,NA,NA,Aethomys stannarius,graze/browse,t1,
32,Unchanged taxonomy.,AF_extant_Aethomys thomasi,AF,Angola,extant,,NA,NA,Rodentia,Muridae,Aethomys,thomasi,,Aethomys thomasi,-999,-999,,-999,,,,,NA,NA,Aethomys thomasi,graze/browse,t1,
33,Unchanged taxonomy.,AF_extant_Alcelaphus buselaphus,AF,,extant,,NA,NA,Artiodactyla,Bovidae,Alcelaphus,buselaphus,,Alcelaphus buselaphus,5.233,171001.532,hunting_ habitat loss_ drought_ pathogens/parasites,63_ 70,LR,,,,NA,NA,Alcelaphus buselaphus,graze,t1,terr
34,Unchanged taxonomy.,AF_extant_Allactaga tetradactyla,AF,,extant,,NA,NA,Rodentia,Dipodidae,Allactaga,tetradactyla,,Allactaga tetradactyla,1.716,52,habitat loss_ restricted range,68,EN,,,,NA,NA,Allactaga tetradactyla,graze,t1,terr
35,Unchanged taxonomy.,AF_extant_Allenopithecus nigroviridis,AF,,extant,,NA,NA,Primates,Cercopithecidae,Allenopithecus,nigroviridis,,Allenopithecus nigroviridis,3.677,4749.961,hunting_ habitat loss,56,LR,,,,NA,NA,Allenopithecus nigroviridis,frug/ginsect,t1,arboreal
36,Genus level change. Taxonomy possibilities are: AFROSORICIDA Chrysochloridae Neamblysomus gunningi,AF_extant_Amblysomus gunningi,AF,indeterminate status,extant,,NA,NA,Insectivora,Chrysochloridae,Amblysomus,gunningi,,Amblysomus gunningi,1.449,28.135,unknown,196,VU,,,,NA,NA,Amblysomus gunningi,ginsect,t1,terr- fossorial
37,Genus and species name match. Likely taxonomy is AFROSORICIDA Chrysochloridae Amblysomus hottentotus,AF_extant_Amblysomus hottentotus,AF,,extant,,NA,NA,Insectivora,Chrysochloridae,Amblysomus,hottentotus,,Amblysomus hottentotus,1.721,52.6,,260,,,,,NA,NA,Amblysomus hottentotus,ginsect,t1,terr- fossorial
38,"Species name change. Listing all species in the genus: corriae, hottentotus, marleyi, robustus, septentrionalis",AF_extant_Amblysomus iris,AF,,extant,,NA,NA,Insectivora,Chrysochloridae,Amblysomus,iris,,Amblysomus iris,1.643,44,,60,,,,,NA,NA,Amblysomus iris,ginsect,t1,terr- fossorial
39,Genus level change. Taxonomy possibilities are: AFROSORICIDA Chrysochloridae Neamblysomus julianae,AF_extant_Amblysomus julianae,AF,,extant,,NA,NA,Insectivora,Chrysochloridae,Amblysomus,julianae,,Amblysomus julianae,1.342,22,habitat loss_ restricted range,60,CR,,,,NA,NA,Amblysomus julianae,ginsect,t1,terr- fossorial
40,Unchanged taxonomy.,AF_extant_Ammodillus imbellis,AF,,extant,,NA,NA,Rodentia,Muridae,Ammodillus,imbellis,,Ammodillus imbellis,1.699,50,habitat loss,70,VU,,,,NA,NA,Ammodillus imbellis,frug/ginsect,t1,terr
41,Unchanged taxonomy.,AF_extant_Ammodorcas clarkei,AF,,extant,,NA,NA,Artiodactyla,Bovidae,Ammodorcas,clarkei,,Ammodorcas clarkei,4.448,28049.815,hunting_ civil war,60,VU,,,,NA,NA,Ammodorcas clarkei,Browse,t1,terr
42,Unchanged taxonomy.,AF_extant_Ammotragus lervia,AF,,extant,,NA,NA,Artiodactyla,Bovidae,Ammotragus,lervia,,Ammotragus lervia,4.681,48000,hunting_ habitat loss,75,VU,,,,NA,NA,Ammotragus lervia,graze/browse,t1,terr
43,Unchanged taxonomy.,AF_extant_Anomalurus beecrofti,AF,,extant,,NA,NA,Rodentia,Anomaluridae,Anomalurus,beecrofti,,Anomalurus beecrofti,2.59,389,,60,,,,,NA,NA,Anomalurus beecrofti,frug/browse ,t1,arboreal
44,Unchanged taxonomy.,AF_extant_Anomalurus derbianus,AF,,extant,,NA,NA,Rodentia,Anomaluridae,Anomalurus,derbianus,,Anomalurus derbianus,2.813,649.995,,65,,,,,NA,NA,Anomalurus derbianus,browse/frug,t1,arboreal
45,Unchanged taxonomy.,AF_extant_Anomalurus pelii,AF,,extant,,NA,NA,Rodentia,Anomaluridae,Anomalurus,pelii,,Anomalurus pelii,3.248,1769.987,habitat loss,60,VU,,,,NA,NA,Anomalurus pelii,browse/frug,t1,arboreal
46,Unchanged taxonomy.,AF_extant_Anomalurus pusillus,AF,Zaire,extant,,NA,NA,Rodentia,Anomaluridae,Anomalurus,pusillus,,Anomalurus pusillus,2.398,250,,70,,,,,NA,NA,Anomalurus pusillus,browse/frug,t1,arboreal
47,Unchanged taxonomy.,AF_extant_Antidorcas marsupialis,AF,,extant,,NA,NA,Artiodactyla,Bovidae,Antidorcas,marsupialis,,Antidorcas marsupialis,4.498,31500,drought_ pathogens/parasites,236,LR,,,,NA,NA,Antidorcas marsupialis,graze/browse,t1,terr
48,Unchanged taxonomy.,AF_extant_Aonyx capensis,AF,,extant,,NA,NA,Carnivora,Mustelidae,Aonyx,capensis,,Aonyx capensis,4.279,18999.842,,63_ 70,,,,,NA,NA,Aonyx capensis,invert/piscivore,t1,aquatic
49,"Genus level change. Taxonomy possibilities are: RODENTIA Sciuridae Funisciurus congicus, RODENTIA Muridae Taterillus congicus, CHIROPTERA Molossidae Mops congicus",AF_extant_Aonyx congicus,AF,,extant,,NA,NA,Carnivora,Mustelidae,Aonyx,congicus,,Aonyx congicus,4.377,23800.167,hunting_ persecution_ habitat loss,63_ 70,DD,,,,NA,NA,Aonyx congicus,piscivore,t1,aquatic
50,Unchanged taxonomy.,AF_extant_Apodemus sylvaticus,AF,,extant,,NA,NA,Rodentia,Muridae,Apodemus,sylvaticus,,Apodemus sylvaticus,1.332,21.5,,70,,,,,NA,NA,Apodemus sylvaticus,frug/ginsect,t1,terr
51,Genus and species name match. Likely taxonomy is PRIMATES Lorisidae Arctocebus aureus,AF_extant_Arctocebus aureus,AF,,extant,,NA,NA,Primates,Loridae,Arctocebus,aureus,,Arctocebus aureus,2.371,235,hunting_ habitat loss,70,LR,,,,NA,NA,Arctocebus aureus,ginsect,t1,arboreal
52,Genus and species name match. Likely taxonomy is PRIMATES Lorisidae Arctocebus calabarensis,AF_extant_Arctocebus calabarensis,AF,,extant,,NA,NA,Primates,Loridae,Arctocebus,calabarensis,,Arctocebus calabarensis,2.322,210,hunting_ habitat loss ,60130,LR,WT:210,,,NA,NA,Arctocebus calabarensis,ginsect/frug,t1,arboreal
53,Unchanged taxonomy.,AF_extant_Arvicanthis abyssinicus,AF,,extant,,NA,NA,Rodentia,Muridae,Arvicanthis,abyssinicus,,Arvicanthis abyssinicus,1.887,77.099,,60,,,,,NA,NA,Arvicanthis abyssinicus,frug/graze,t1,terr
54,Unchanged taxonomy.,AF_extant_Arvicanthis blicki,AF,,extant,,NA,NA,Rodentia,Muridae,Arvicanthis,blicki,,Arvicanthis blicki,2.107,128,,60,,,,,NA,NA,Arvicanthis blicki,frug/graze,t1,terr
55,Unchanged taxonomy.,AF_extant_Arvicanthis nairobae,AF,,extant,,NA,NA,Rodentia,Muridae,Arvicanthis,nairobae,,Arvicanthis nairobae,2.017,104,,jake,,,,,NA,NA,Arvicanthis nairobae,frug/graze,t1,terr
56,Unchanged taxonomy.,AF_extant_Arvicanthis niloticus,AF,,extant,,NA,NA,Rodentia,Muridae,Arvicanthis,niloticus,,Arvicanthis niloticus,2.029,106.9,,128_ 130,,WT:75,,,NA,NA,Arvicanthis niloticus,frug/graze,t1,terr
57,"Genus level change. Taxonomy possibilities are: RODENTIA Muridae Dipodillus somalicus, CHIROPTERA Vespertilionidae Neoromicia somalicus",AF_extant_Arvicanthis somalicus,AF,,extant,,NA,NA,Rodentia,Muridae,Arvicanthis,somalicus,,Arvicanthis somalicus,-999,-999,,-999,,,,,NA,NA,Arvicanthis somalicus,frug/graze,t1,
58,Genus and species name match. Likely taxonomy is CHIROPTERA Hipposideridae Asellia patrizii,AF_extant_Asellia patrizii,AF,n Ethiopia and islands in the Red sea,extant,,NA,NA,Chiroptera,Rhinolophidae,Asellia,patrizii,,Asellia patrizii,-999,-999,,-999,,,,,NA,NA,Asellia patrizii,ainsect,t1,
59,Genus and species name match. Likely taxonomy is CHIROPTERA Hipposideridae Asellia tridens,AF_extant_Asellia tridens,AF,Pakistan to Arabia_ sinai peninsula (NE egypt) and Israel_ Egypt to Morocco_ Senegal_ Chad_ Sudan and S Somalia_ Socotra (Yemen)_ perhaps Zanzibar,extant,,NA,NA,Chiroptera,Rhinolophidae,Asellia,tridens,,Asellia tridens,1.077,11.928,,153,,,,,NA,NA,Asellia tridens,ainsect,t1,volant
60,Genus and species name match. Likely taxonomy is ERINACEOMORPHA Erinaceidae Atelerix albiventris,AF_extant_Atelerix albiventris,AF,,extant,,NA,NA,Insectivora,Erinaceidae,Atelerix,albiventris,,Atelerix albiventris,2.778,599.998,,65,,,,,NA,NA,Atelerix albiventris,ginsect,t1,terr
61,Genus and species name match. Likely taxonomy is ERINACEOMORPHA Erinaceidae Atelerix algirus,AF_extant_Atelerix algirus,AF,,extant,,NA,NA,Insectivora,Erinaceidae,Atelerix,algirus,,Atelerix algirus,3.097,1250,,65,,,,,NA,NA,Atelerix algirus,ginsect,t1,terr
62,Genus and species name match. Likely taxonomy is ERINACEOMORPHA Erinaceidae Atelerix frontalis,AF_extant_Atelerix frontalis,AF,,extant,,NA,NA,Insectivora,Erinaceidae,Atelerix,frontalis,,Atelerix frontalis,2.491,309.5,,60,,,,,NA,NA,Atelerix frontalis,ginsect,t1,terr
63,Genus and species name match. Likely taxonomy is ERINACEOMORPHA Erinaceidae Atelerix sclateri,AF_extant_Atelerix sclateri,AF,,extant,,NA,NA,Insectivora,Erinaceidae,Atelerix,sclateri,,Atelerix sclateri,-999,-999,,-999,,,,,NA,NA,Atelerix sclateri,ginsect,t1,
64,Unchanged taxonomy.,AF_extant_Atherurus africanus,AF,,extant,,NA,NA,Rodentia,Hystricidae,Atherurus,africanus,,Atherurus africanus,3.286,1934,n=11,135,,WT:5000,,,NA,NA,Atherurus africanus,frug/browse ,t1,terr
65,Unchanged taxonomy.,AF_extant_Atilax paludinosus,AF,,extant,,NA,NA,Carnivora,Herpestidae,Atilax,paludinosus,,Atilax paludinosus,3.519,3299.97,,63_ 70,,,,,NA,NA,Atilax paludinosus,invert/piscivore,t1,terr
66,Unchanged taxonomy.,AF_extant_Atlantoxerus getulus,AF,,extant,,NA,NA,Rodentia,Sciuridae,Atlantoxerus,getulus,,Atlantoxerus getulus,2.4,250.998,,60,,,,,NA,NA,Atlantoxerus getulus,frug ,t1,terr
67,Unchanged taxonomy.,AF_extant_Bathyergus janetta,AF,,extant,,NA,NA,Rodentia,Bathyergidae,Bathyergus,janetta,,Bathyergus janetta,2.521,332,habitat loss,68,LR,,,,NA,NA,Bathyergus janetta,Browse,t1,terr- fossorial
68,Unchanged taxonomy.,AF_extant_Bathyergus suillus,AF,,extant,,NA,NA,Rodentia,Bathyergidae,Bathyergus,suillus,,Bathyergus suillus,2.796,625,,60,,,,,NA,NA,Bathyergus suillus,Browse,t1,terr- fossorial
69,Unchanged taxonomy.,AF_extant_Bdeogale crassicauda,AF,,extant,,NA,NA,Carnivora,Herpestidae,Bdeogale,crassicauda,,Bdeogale crassicauda,3.19,1549.994,,63_ 70,,,,,NA,NA,Bdeogale crassicauda,ginsect,t1,terr
70,Unchanged taxonomy.,AF_extant_Bdeogale jacksoni,AF,,extant,,NA,NA,Carnivora,Herpestidae,Bdeogale,jacksoni,,Bdeogale jacksoni,3.398,2500,habitat loss,70,VU,,,,NA,NA,Bdeogale jacksoni,ginsect/carn,t1,terr
71,Unchanged taxonomy.,AF_extant_Bdeogale nigripes,AF,,extant,,NA,NA,Carnivora,Herpestidae,Bdeogale,nigripes,,Bdeogale nigripes,3.398,2500,,63_ 70,,,,,NA,NA,Bdeogale nigripes,ginsect/carn,t1,terr
72,Genus and species name match. Likely taxonomy is RODENTIA Nesomyidae Beamys hindei,AF_extant_Beamys hindei,AF,,extant,,NA,NA,Rodentia,Muridae,Beamys,hindei,,Beamys hindei,1.88,75.8,unknown,125,VU,,,,NA,NA,Beamys hindei,frug ,t1,terr
73,Genus and species name match. Likely taxonomy is RODENTIA Nesomyidae Beamys major,AF_extant_Beamys major,AF,,extant,,NA,NA,Rodentia,Muridae,Beamys,major,,Beamys major,-999,-999,unknown,-999,LR,,,,NA,NA,Beamys major,,,
74,Unchanged taxonomy.,AF_extant_Bos taurus,AF,,extant,,NA,NA,Artiodactyla,Bovidae,Bos,taurus,,Bos taurus,5.954,9.00E+05,Added in by KJ and ME,-999,,,,,NA,NA,Bos taurus,Graze ,same as congeners,terr
75,Unchanged taxonomy.,AF_extant_Bunolagus monticularis,AF,,extant,,NA,NA,Lagomorpha,Leporidae,Bunolagus,monticularis,,Bunolagus monticularis,3.243,1750.008,habitat loss_ restricted range,65,EN,,,,NA,NA,Bunolagus monticularis,Browse,t1,terr
76,Genus and species name match. Likely taxonomy is AFROSORICIDA Chrysochloridae Calcochloris obtusirostris,AF_extant_Calcochloris obtusirostris,AF,,extant,,NA,NA,Insectivora,Chrysochloridae,Calcochloris,obtusirostris,,Calcochloris obtusirostris,1.381,24.05,,60_ 129,,,,,NA,NA,Calcochloris obtusirostris,ginsect,t1,terr- fossorial
77,Unchanged taxonomy.,AF_extant_Canis adustus,AF,,extant,,NA,NA,Carnivora,Canidae,Canis,adustus,,Canis adustus,4.011,10249.909,,63_ 70,,,,,NA,NA,Canis adustus,carn/ginsect,t1,terr
78,Unchanged taxonomy.,AF_extant_Canis aureus,AF,,extant,,NA,NA,Carnivora,Canidae,Canis,aureus,,Canis aureus,4.041,10999.932,,63_ 70,,,,,NA,NA,Canis aureus,carn/ginsect,t1,terr
79,Unchanged taxonomy.,AF_extant_Canis mesomelas,AF,,extant,,NA,NA,Carnivora,Canidae,Canis,mesomelas,,Canis mesomelas,3.929,8500.021,,63_ 70,,,,,NA,NA,Canis mesomelas,carn/ginsect,t1,terr
80,Unchanged taxonomy.,AF_extant_Canis simensis,AF,,extant,,NA,NA,Carnivora,Canidae,Canis,simensis,,Canis simensis,4,10000,hunting_ persecution_ habitat loss_ invasive spp._ restricted range,65,CR,,,,NA,NA,Canis simensis,Carn,t1,terr
81,Unchanged taxonomy.,AF_extant_Capra ibex,AF,,extant,,NA,NA,Artiodactyla,Bovidae,Capra,ibex,,Capra ibex,5.004,100999.681,,65,,,,,NA,NA,Capra ibex,browse/graze,t1,terr
82,Unchanged taxonomy.,AF_extant_Capra nubiana,AF,,extant,,NA,NA,Artiodactyla,Bovidae,Capra,nubiana,,Capra nubiana,4.898,78999.681,hunting_ habitat loss_ pollution_ tourism_ changes in competitors,70,EN,,,,NA,NA,Capra nubiana,browse/graze,t1,terr
83,Unchanged taxonomy.,AF_extant_Capra walie,AF,,extant,,NA,NA,Artiodactyla,Bovidae,Capra,walie,,Capra walie,5,1.00E+05,hunting_ habitat loss_ restricted range,-999,CR,,,,NA,NA,Capra walie,browse/graze,t1,terr
84,Unchanged taxonomy.,AF_extant_Caracal caracal,AF,,extant,,NA,NA,Carnivora,Felidae,Caracal,caracal,,Caracal caracal,4.138,13749.915,,63_ 70,,,,,NA,NA,Caracal caracal,Carn,t1,terr
85,Unchanged taxonomy.,AF_extant_Cardioderma cor,AF,Ethiopia_ Somalia_ kenya_ Uganda_ E Sudan_ Tanzania_ Zanzibar,extant,,NA,NA,Chiroptera,Megadermatidae,Cardioderma,cor,,Cardioderma cor,1.445,27.843,,153,,,,,NA,NA,Cardioderma cor,ginsect,t1,volant
86,Unchanged taxonomy.,AF_extant_Casinycteris argynnis,AF,Cameroon to E Zaire,extant,,NA,NA,Chiroptera,Pteropodidae,Casinycteris,argynnis,,Casinycteris argynnis,1.475,29.85,,153,,,,,NA,NA,Casinycteris argynnis,frug ,t1,volant
87,Unchanged taxonomy.,AF_extant_Cephalophus adersi,AF,,extant,,NA,NA,Artiodactyla,Bovidae,Cephalophus,adersi,,Cephalophus adersi,3.966,9249.963,hunting_ habitat loss,63_ 70,EN,,,,NA,NA,Cephalophus adersi,frug/browse ,t1,terr
88,Unchanged taxonomy.,AF_extant_Cephalophus callipygus,AF,,extant,,NA,NA,Artiodactyla,Bovidae,Cephalophus,callipygus,,Cephalophus callipygus,4.261,18249.879,hunting_ habitat loss,63_ 70,LR,,,,NA,NA,Cephalophus callipygus,frug/browse ,t1,terr
89,Unchanged taxonomy.,AF_extant_Cephalophus dorsalis,AF,,extant,,NA,NA,Artiodactyla,Bovidae,Cephalophus,dorsalis,,Cephalophus dorsalis,4.301,20000,hunting_ habitat loss,60,LR,,,,NA,NA,Cephalophus dorsalis,frug/browse ,t1,terr
90,"Species name change. Listing all species in the genus: adersi, brookei, callipygus, dorsalis, jentinki, leucogaster, natalensis, niger, nigrifrons, ogilbyi, rufilatus, silvicultor, spadix, weynsi, zebra",AF_extant_Cephalophus harveyi,AF,,extant,,NA,NA,Artiodactyla,Bovidae,Cephalophus,harveyi,,Cephalophus harveyi,4.161,14500.067,hunting_ habitat loss,63_ 70,LR,,,,NA,NA,Cephalophus harveyi,frug/browse ,t1,terr
91,Unchanged taxonomy.,AF_extant_Cephalophus jentinki,AF,,extant,,NA,NA,Artiodactyla,Bovidae,Cephalophus,jentinki,,Cephalophus jentinki,4.845,70000.316,hunting_ habitat loss,65,VU,,,,NA,NA,Cephalophus jentinki,frug/browse ,t1,terr
92,Unchanged taxonomy.,AF_extant_Cephalophus leucogaster,AF,,extant,,NA,NA,Artiodactyla,Bovidae,Cephalophus,leucogaster,,Cephalophus leucogaster,4.104,12699.891,hunting_ habitat loss,60,LR,,,,NA,NA,Cephalophus leucogaster,frug/browse ,t1,terr
93,Genus level change. Taxonomy possibilities are: ARTIODACTYLA Bovidae Philantomba maxwellii,AF_extant_Cephalophus maxwellii,AF,,extant,,NA,NA,Artiodactyla,Bovidae,Cephalophus,maxwellii,,Cephalophus maxwellii,4.079,11999.966,hunting,63_ 70,LR,,,,NA,NA,Cephalophus maxwellii,frug/browse ,t1,terr
94,"Genus level change. Taxonomy possibilities are: AFROSORICIDA Tenrecidae Microgale monticola, RODENTIA Geomyidae  Thomomys monticola, SORICOMORPHA Soricidae Crocidura monticola, CHIROPTERA Emballonuridae Emballonura monticola, ARTIODACTYLA Bovidae Philantomba monticola",AF_extant_Cephalophus monticola,AF,,extant,,NA,NA,Artiodactyla,Bovidae,Cephalophus,monticola,,Cephalophus monticola,3.796,6250,,60,,,,,NA,NA,Cephalophus monticola,frug/browse ,t1,terr
